,IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
1685,Annex_I,OECD_Europe,DNK,Denmark,1.A.1.a,Main Activity Electricity and Heat Production,fossil,16637.35582,14943.563,16614.879296,15551.85869,14848.64311,15661.45543,17828.749596,19610.70143,19040.8923,21439.66925,26261.12704,19997.90143,26585.9481033,24664.9717115,25184.7641607,30796.4396699,31061.220996,29942.553852,27821.585615,23188.841985,25200.233293,34038.084525,28862.0084796,30436.0855773,34510.461429,30660.58921,42930.959702,33887.555798,30426.471896,27207.3913242,24046.9979023,25327.1687976,25497.6399114,30451.8397609,24519.4013038,21224.8749562,28897.7777612,24203.0219392,22163.2106158,22144.3298616,22156.9396092,17950.3575531,14653.0609471,16938.9002124,13443.4268091,10542.452906,11810.9786431,9298.0536315,9438.1816546
1686,Annex_I,OECD_Europe,DNK,Denmark,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,fossil,74.2336,71.392,62.1766,10.2099,9.0741,1060.5085,956.0781,947.5601,934.7408,1077.5299,880.4827,987.3444,872.3016,936.1832,1017.775,1073.327,1218.489,1300.321,1353.467,1428.996,1352.689,1421.2353,1606.7463,1604.3523,1693.8833,1834.3353,2072.0073,2052.6045,2028.647,2157.134,2256.26,2227.815,2299.437,2330.021,2368.968,2376.671,2431.831,2419.056,2303.595,2242.981,2152.054,2198.995,2246.769,2130.228,2083.849,2218.0442,1998.8148,2123.3382,2099.2481
1687,Annex_I,OECD_Europe,DNK,Denmark,1.A.2,Manufacturing Industries and Construction,fossil,10980.1666,9841.1703,10118.2292,9285.0227,7080.1381,7377.5563,8319.3622,8437.2917,8953.2124,8992.6965,8260.3902,6718.9428,6068.6561,5544.9603,6217.4214,6410.3799,6647.6448,6227.7497,5967.8881,5512.7087,5459.604,5887.9769,5749.7146,5686.8023,5728.1141,5972.2113,5898.1907,5816.166,5648.7714,5708.2849,5389.598,5584.0553,5190.8219,5222.9224,5350.3993,5156.9802,5320.8126,5138.3135,4642.0864,3803.3835,3997.1353,3979.7265,3672.4009,3443.1799,3446.5803,3338.578,3527.2464,3684.3894,3680.1883496
1688,Annex_I,OECD_Europe,DNK,Denmark,1.A.3.a,Civil Aviation,fossil,,,,,614.9271,571.8845,688.7155,670.2677,635.2833,639.7118,601.7266,615.48689,594.53463,335.99685,323.11823,378.6586,337.352,318.8398,236.629298,375.086006,218.3065,175.263,169.1141,166.0393,172.1881,172.1881,178.3378,181.4118,162.976998,144.546898,153.753498,144.529598,126.082698,126.082698,129.14,129.14,116.842,129.14,122.991,122.991,129.134506,122.985506,107.613006,104.538506,98.389506,90.805911,93.666011,89.185507,89.366818
1689,Annex_I,OECD_Europe,DNK,Denmark,1.A.3.b_noRES,Road Transportation no resuspension,fossil,5859.07994,5959.414763,6075.862106,6168.167382,5659.953868,6274.430946,6608.528904,6935.400996,7206.6776391,7149.706537,6925.789237,6699.021755,6811.699171,7081.225857,7643.985471,8455.272037,8818.53691,8801.99167,8853.792811,8912.246755,9202.8734292,9563.87471822,9712.93277526,9827.72196631,10316.80100468,10403.20559717,10578.001274549,10793.16578607,10983.7892508,11129.6861916,11028.0581669,11077.93642972,11225.1392307,11695.4741297,12023.3283973,12146.492469,12541.7343275,13146.64490496,12849.95003398,12133.20022795,12079.802623,11713.9233286,10448.6068081,10267.10262445,10459.89691187,10677.6526426077,10865.1405746298,11040.1469392874,11062.5642519311
1690,Annex_I,OECD_Europe,DNK,Denmark,1.A.3.c,Railways,fossil,252.533,293.584,331.449,328.263,340.934,331.449,334.636,328.263,306.181,318.852,334.636,404.067,441.932,394.582,385.098,363.016,356.717,315.666,337.748,309.368,296.696,299.883,318.852,331.449,299.883,303.069,299.883,293.584,246.234,230.451,227.265,211.481,211.481,217.78,214.668,230.451,227.265,227.265,236.749,230.451,243.048,249.346,249.346,246.234,252.533,248.087,253.2,243.715,244.211
1691,Annex_I,OECD_Europe,DNK,Denmark,1.A.3.d,Water-borne Navigation,fossil,1170.3157,1201.9137,1273.1343,1515.6726,1295.5146,1484.198,1237.3566,1140.0637,1155.6377,1190.5097,1117.885,1001.3,955.529,931.474,947.971,1482.8897,1611.134,1562.888,1614.9466,1738.1863,477.631,577.506,521.991,570.538,536.589,568.975,585.455,506.842,405.237,360.893,509.134,528.104,590.344,584.439,515.22,597.733,541.004,471.876,604.334,560.294,484.867,472.392,459.992,466.004,371.697,417.0156,472.9868,459.346,460.28
1692,Annex_I,OECD_Europe,DNK,Denmark,1.A.3.e,Other Transportation,fossil,,,,,,,,,,,,,,,,100.998,104.185,47.3499,9.4848,22.0818,114.0178,282.916,137.1825,232.3425,247.4537,249.396,173.5534,168.5996,199.6435,177.151,108.3173,97.0645,86.9076,90.2811,236.388,266.8718,124.2124,170.4412,105.7654,158.9653,105.6536,189.4862,115.5115,136.9212,130.7722,97.2418,107.0353,202.4895,202.9008
1693,Annex_I,OECD_Europe,DNK,Denmark,1.A.4,Other Sectors,fossil,24262.7128,23102.294524,22851.426741,23285.132723,19757.139383,18963.024809,22071.73875,21594.781756,20956.428102,22068.848315,18461.599039,16267.792459,11511.907687,10553.159573,10458.1045,11862.26507,11336.684224,11167.636368,9706.32197,8565.123861,8637.161599,8923.81636,8209.5606,8809.66517,8074.066758,8111.29881,8748.690397,8003.286575,7712.270953,7507.418915,6921.77422,7032.39614,6744.48221,6732.66745,6459.61586,6335.97276,6173.01947,5704.44182,5601.51966,5499.2347,5875.94456,5152.54476,4912.43046,4876.82024,4135.8507,4301.7253,4345.03986,4108.7292,4093.729731
1694,Annex_I,OECD_Europe,DNK,Denmark,1.A.5,Non-Specified,fossil,539.4794,6.1834,75.2096,103.7748,405.9958,921.2097,264.5027,270.8874,362.4047,201.3611,217.2597,179.5907,1206.3384,1247.4756,1107.1046,108.5178,104.6505,130.0874,88.6465,124.0279,23.8986,33.099,32.538,37.5309,37.3065,36.6333,40.7847,36.465,35.1747,33.1551,32.0331,33.5478,30.0135,30.5745,30.4623,29.9574,29.8452,29.9013,29.7891,29.7891,29.7891,26.6475,25.5816,23.9547,19.5789,15.7047,11.7777,13.6719,13.515323
1695,Annex_I,OECD_Europe,DNK,Denmark,1.B.1,Solid Fuels,fossil,,51.4689999999999,,185.1153,264.1102,19.4766,31.2188,,165.5399,169.3739,22.3508,10.4101,86.2992,122.9664,114.2675,15.1896,51.6538,50.129,27.261,31.5579,28.0888,16.4365,19.9315,20.8102,11.7276,12.2269,14.8717,11.1768,12.1356,10.7454,10.761,6.5703,8.1423,7.7682,8.1468,6.573,5.85,5.9031,11.3448,10.0809,10.203,6.8628,6.3462,7.1607,4.6461,3.2133,0.352800000000002,,
1696,Annex_I,OECD_Europe,DNK,Denmark,1.B.2,Oil and Natural Gas,fossil,0.00809203,0.00852723,38.68757028,61.10733318,48.31399379,122.17953479,138.34225632,321.85094198,292.83419295,299.22926554,138.60713894,197.51270188,203.08676263,188.23807457,236.7301384,270.30083686,320.24602698,239.3954902,249.3830525,222.53350723,217.32456876,434.69257375,449.43871476,396.26968017,395.0498616,411.91160995,419.08736414,419.23424776,361.58257207,619.8261298,469.6469536,517.64727598,380.53085285,505.05397435,493.6333939,409.73535138,378.93051317,398.54583509,322.4466849,253.25555704,200.39753039,238.49295083,215.0058642,240.19812591,261.2048211,241.49527012,293.78534169,245.39958278,236.00612648
1697,Annex_I,OECD_Europe,DNK,Denmark,2.A.1,Cement production,fossil,1284.4,1340.43,1403.43,1404.54,1205.16,1077.44,1128.08,1099.56,1243.99,1135.11,898.56,744.0,819.51,759.0,763.19,898.92,917.56,848.61,749.28,886.0,732.06,941.32,1086.75,1100.95,1139.67,1222.92,1291.33,1291.76,1280.18,1240.99,1274.34,1295.6,1305.29,1226.55,1358.8,1310.16,1371.64,1407.0,1177.77,778.94,683.32,822.194,846.858,838.14,855.456,891.1,1026.0,1128.33,1113.66
1698,Annex_I,OECD_Europe,DNK,Denmark,2.A.2,Lime production,fossil,134.025,134.025,148.35,162.6,127.95,127.95,173.475,129.975,121.8,132.675,127.2,146.25,146.25,81.0,95.925,96.6,100.05,89.775,100.725,101.4,116.748,85.3372,96.2603,93.1095,95.0348,87.4447,81.471,86.3468,73.0252,77.1232,75.1208,86.25,85.5,86.25,87.0,90.0,111.926,110.561,115.403,117.488,120.269,107.06,130.697,133.477,141.998,135.0,135.0,142.5,150.0
