,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Afghanistan,0.423147612101654,0.47766212416396,0.439365140666665,0.590632015337303,0.762603597045314,0.529154007464011,0.608819781918475,0.687442921879101,0.760735053836496,0.850132189873922,0.796716213765862,0.76697482467036,0.582576059070867,0.561951636048055,0.557492339770903,0.51090542638081,0.492570341645633,0.461500387633078,0.520465453702803,0.478578221214554,0.484346792454317,0.574296811281718,0.472137278793223,0.4194053863928,0.405675163748345,0.397359483698649,0.369028638642105,0.39252741579263,0.387639066506819
1,Albania,0.703575551907119,0.760543042335382,0.559114910752325,0.512676253094262,0.527053376170381,0.440147158016181,0.38750086105214,0.38223306507132,0.369578308888376,0.39946605527874,0.384573327671907,0.364572315267496,0.37906407016943,0.367502676147325,0.358372412106098,0.323415522168661,0.306472470181897,0.287365494734339,0.260265521326838,0.251719436293904,0.252327711602198,0.258558990989553,0.245746720253673,0.250673322572652,0.260711409092212,0.250530939669509,0.23658265549485,0.244338519690497,0.234941117329679
2,Algeria,0.60159930854146,0.624051414194562,0.653036734213096,0.68820712621118,0.679856702907025,0.694091465927921,0.671105030433255,0.641607553280324,0.608260896288607,0.613550864163293,0.619653541943553,0.56707585777441,0.541347882402705,0.546631749048436,0.516926171548428,0.510181009991232,0.524168620305722,0.505988301222677,0.51497685414059,0.501045853174714,0.498870497235231,0.500215231716049,0.522397375919945,0.515393043952525,0.528340044180506,0.532102848263366,0.519712915921131,0.518999915766669,0.533834277798341
3,Angola,0.45638854291465,0.453853394861743,0.47060645697482,0.683994371598197,0.858947452657304,0.858144916232219,0.902851477274872,0.880477989964633,0.900490123774834,0.894384048204635,0.814202084343008,0.756235861583201,0.656439086392701,0.641826842433946,0.627404894298919,0.537635843401187,0.439942347680845,0.38246616259617,0.36768207215126,0.371974305920675,0.395310943893849,0.377580494278661,0.350043596512386,0.355053512111988,0.349231314533101,0.365635674469909,0.374516562533232,0.350153865205228,0.350731484070413
4,Anguilla,0.0338748151114038,0.0523800467640316,0.0412352970932089,0.0480550797696608,0.0592338557477895,0.0717917576782221,0.0739131182327012,0.064018996744889,0.0519210698890375,0.0457884846102153,0.0609279268295258,0.0630218595292393,0.0520163192636488,0.0545242559227304,0.046532506335298,0.0391670471670408,0.0352419387437046,0.0290883035632242,0.0343974118921259,0.0608961997130004,0.0732865658106447,0.078830369948167,0.0853760388749054,0.105843562058357,0.111357175181136,0.129249776052729,0.144594850108326,0.170608566807647,0.216418087954691
5,Antigua and Barbuda,0.504839823178392,0.517466525222351,0.520861453600074,0.45893113729954,0.453696488249415,0.495520434194397,0.468910513647345,0.437112154598539,0.408083663380236,0.403095624114439,0.365574060841149,0.382442402756032,0.38155094686316,0.397922030313942,0.393351067007067,0.36298243666993,0.319414027562815,0.298077740136905,0.302182705775025,0.386458573249479,0.406833541184959,0.449797096714888,0.474024400857913,0.507526313586357,0.484909257164014,0.464880927115655,0.434164734989104,0.338011446639586,0.307883004656974
6,Argentina,0.571341179803702,0.530154170710174,0.49743965913532,0.455360802549714,0.448609285740844,0.470753567672178,0.455313387432327,0.432870152358145,0.422351106457945,0.451684533366653,0.455159630742734,0.467393755933124,0.523619683556803,0.521977527409306,0.50861123851289,0.474071630476597,0.458448651167788,0.42906775896049,0.421099177055397,0.422727690709709,0.385585940814722,0.369793301888349,0.381581421408186,0.374399323513481,0.393499092568579,0.389188833315845,0.401274086158958,0.385925227420524,0.392335982722445
7,Armenia,1.3148563117714,1.52603691305239,1.46622256793968,0.880630966131027,0.579893739987505,0.611503200259104,0.488084919732112,0.543263105850851,0.508685910137664,0.462890340883896,0.476247870375676,0.442403123198206,0.363054182352024,0.345018311667822,0.336255909806901,0.330471843666997,0.292593441453116,0.281600605568479,0.280670345130687,0.278094414227792,0.263626696119862,0.275050480917691,0.2867462375235,0.273312614848944,0.265116701109934,0.244076321072874,0.248551264784042,0.238674577442457,0.231283366117423
8,Aruba,0.240073687783222,0.255009899842018,0.268467882630288,0.233411663592165,0.234092116720624,0.254010553621014,0.169507311399429,0.239591737733192,0.228546105151622,0.231743836034452,0.248472648811113,0.261969812695505,0.264066219100976,0.305792928246677,0.300254342061308,0.308115075689772,0.287631868670482,0.284758011638732,0.26651419464507,0.319523449971695,0.305191530000041,0.258199565981793,0.341786519760365,0.334979129202854,0.327727270617719,0.309962498899191,0.28981374899912,0.230832022977288,0.221775748235
9,Australia,0.844570720784512,0.852231457653787,0.851761352108245,0.823744070592671,0.800828471958743,0.785083960713114,0.780560701728994,0.769174834899881,0.770100406256004,0.742088234348592,0.727649546810674,0.725725017695154,0.709573051822727,0.677777402001946,0.676012402334435,0.661913284639563,0.648173820311224,0.633297708966419,0.609605981992791,0.607787159059699,0.590637475678523,0.580956570610031,0.559506663502317,0.53752312213672,0.516081148327941,0.511346454153328,0.496969635991175,0.491094020536566,0.473937599026524
