,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Afghanistan,1.46229683592487,1.41999035181787,1.2219223634565,1.23884954091137,1.31306311449892,1.33922803452123,1.31189470048897,1.30258707664949,1.25087484264539,1.23431442951259,1.23751917301337,1.27229223631967,1.29326684478152,1.33302913733685,1.28400385111984,1.31304901303775,1.0802654377965,1.12723869262735,1.17382612336201,1.09190717793464,1.05828177112467,1.00306717004251,0.871322391858182,0.814034784671765,0.762633916912305,0.750412988350129,0.784690119606617,0.814929128343088,0.838867433959474,0.86713978628058,0.741557604034173,0.645330470906553,0.712719434979308,0.713011875615669,0.686005225919103,0.672730261573794,0.661623923386258,0.686424255745119,0.784550817287395,0.853511485772117,0.960462175642376,1.10883390292565,0.994740948335262,0.902703824307949,0.868840144562067,0.838339781179006,0.775042067827536,0.825398128031177,0.805694710401028
1,Albania,3.69329871788125,3.58413581209823,3.8963721162791,3.5879133180959,3.63481359931545,3.63233776469135,3.80252488151931,3.94277224780602,4.2490356995463,4.60118840461897,4.58045938334006,4.13703085232,4.26162090233446,4.46164978690794,4.49813325869561,4.25129307231136,4.21858270524666,4.19772037480059,4.07321123007813,3.9655472840138,3.40165361357602,2.65228501924486,1.82915284074052,1.86694877746402,2.11108640112866,2.0196269312391,1.94896388353927,1.71208732088178,1.79535574539795,2.18236919653074,2.24242858020566,2.30170985274797,2.50456450544355,2.56906089126605,2.65458796379081,2.54337434823194,2.57309795534418,2.58267886378887,2.54166815275778,2.56543857343551,2.68701881189427,2.83683840175105,2.74068527672207,2.82466633108687,2.98806655912139,2.93251474387854,2.8581093800096,3.06002458024174,3.05777084442188
2,Algeria,3.5424061267254,3.70076136412049,4.9108102124542,5.59025735817501,4.87011893839043,4.54852952933732,5.24264888824121,5.53333658054443,5.87553550091695,5.87451000766734,5.48800321831763,5.06432021229421,5.08266659388957,5.18329159525523,5.2528488684749,5.59976701690714,5.64899165159905,5.45457676583131,5.33828881611067,5.34331361834968,5.23062368714619,5.23113879639152,5.44413768325307,5.49451862912937,5.26975970140717,5.47982204187366,5.42047974864791,5.15589584582275,5.06119059882012,5.19495395494134,5.37297928153645,4.99910646788148,4.97610280134248,5.31854369661122,5.17746529671575,5.33705204339706,5.49578070915564,5.40202576469482,5.53940507816591,5.38236242209782,5.45172472313698,5.51770150364006,5.83995149433535,5.80358450872119,6.05313601193996,6.20159111651848,6.13793164097748,6.10219676518481,6.24760649851638
3,Angola,2.80170787845194,2.7218199414071,3.02074567409381,3.15780022421467,3.16459562136317,2.93101550372966,2.35464014541121,2.86564451484213,3.03887521897963,3.00547212998836,2.96097308621835,2.71142073709441,2.5687382834601,2.65505784688214,2.65785176615224,2.7083045082332,2.75806324038795,2.85166731169284,2.98429885587065,2.92133721399236,2.56944192229249,2.50197546261186,2.36471081541668,2.52778059210782,3.11515336176267,3.47179964564441,4.0306527267925,4.10304996422873,4.27548617694725,4.21793369961412,3.83888455465315,3.59688320933429,3.42988009469077,3.33411302645698,3.48922070662974,3.31853504091017,2.92298054919812,2.79566641414639,2.88311599303421,2.83874264850604,3.03923096193338,2.89834523519786,2.81450704261479,2.89226631663681,2.87988082676963,2.94104377674972,2.83756646791571,2.56273799003931,2.43460843295754
4,Anguilla,0.686986165650867,0.605369332662927,0.615996218891467,0.586842138273072,0.620863748756599,0.653691578690437,0.626452054150609,0.639142052699489,0.691614361032652,0.737124547765608,0.921851803802741,1.27268597008019,1.3517149960652,1.21450363232341,1.16681905526562,0.820026225767756,0.727180329724596,1.12929100025651,1.04124022567657,1.04698576329128,1.00697117596186,1.1513097589733,1.15643669849264,1.35476205128275,1.66630603088099,1.9703320111349,1.90650408093657,1.60316994253955,1.46116010058676,1.36688155894776,1.68546682477462,1.68160286776615,1.20067196132742,1.44873471678234,1.36400934561487,1.35375097235552,1.26409513288369,1.20962122345377,1.41799494029521,1.76941222992832,2.03153617844369,2.1541058173247,2.13116358305619,2.24547829735325,2.22038952420872,2.20772275814003,2.20965735583299,2.23870985618824,2.16266567962158
5,Antigua and Barbuda,5.0057464770971,5.00848283150997,5.54972797371484,5.92705729776354,4.98105754225678,6.0427320557401,5.40464413951232,5.85396937229363,6.0766761185798,5.82729607843983,5.86786101330577,5.42216181706208,6.83380948018942,4.66962537912369,5.60060609066167,5.61983777748105,6.00269450571836,7.75909927278755,7.66565470475861,7.23995005122473,7.31693554179396,7.59361885931772,7.60542978142509,6.90253685379214,7.09864098207638,7.22365698904703,7.09362439531448,6.78500757375978,6.45863917601231,6.45614174713853,6.08798539496736,5.97396087513086,5.93688488120164,6.49058256337813,6.71191718275539,6.52110342961925,6.39256334364739,6.4441929432932,6.45451758067215,7.18149073012714,6.88786562499322,7.38357934833282,7.95579441687806,8.37627084072167,8.21847088421258,8.09462011894052,7.89325006862344,6.27321539237155,6.04965006831053
6,Argentina,9.01740138108863,9.00755593889393,9.08319001881905,9.28046038240358,9.13906273255958,8.99188600865549,9.18060618197238,9.39275704431938,9.10827137020611,9.15425735022413,8.86433486407961,8.56269981939057,8.28942891798745,8.32943430259914,8.23995464591001,7.88534673506435,8.10426668470145,8.08721246911584,8.33077934222558,8.17979551155802,8.05406544989715,8.04196329849709,8.03300307647361,7.85068297394321,8.07974431083416,8.13455011379503,8.20297318054619,8.33370598101136,8.34928613529494,8.53118443299394,8.43476575314525,8.18813450143229,8.08362133409669,8.67422945988357,9.11552730068752,9.15010213102216,9.46070789549525,9.55264596393687,9.65603123462781,9.0264594103689,8.97367049841344,9.02801252091867,9.12385776655308,9.0719461417875,9.19967445902364,9.2534789360752,9.2508087434492,9.06019505054568,8.89049531773399
7,Armenia,5.24646218213568,5.17461998541754,5.38510751402637,5.67403900851119,5.95856817648658,6.34403571924948,6.40085522814701,6.49686075574126,6.60397464973675,6.7221619744357,6.98013844700044,6.99306793680999,7.05638052343422,6.99966146646817,6.94288600279891,6.9196942242955,6.85387272529243,6.82002612701959,6.77634856324807,6.6296510331946,6.81104386589194,7.04562626160445,4.01128361519328,2.24929046009728,1.59890341399309,1.83954944854552,1.57849712435947,1.83565057359557,1.85877183771527,1.75836938746004,1.92797479205118,1.97507506724727,1.8449127797546,2.00937391794287,2.17637215131306,2.45206015650857,2.47648641979487,2.73348087190824,2.93731402594375,2.51699374774474,2.44809292452756,2.67583175146361,2.98388747179197,2.92618409122072,2.92775890614241,2.7714246274934,2.82027178947043,2.90572453534256,2.95842201069176
8,Aruba,1.47946549624353,1.47956371137017,1.65696765751468,1.77819183709004,1.5133872193466,1.8323683115927,1.6536953639445,1.81077989811215,1.8665859429426,1.77335207148056,1.76408487655079,1.76945324569884,1.69685120139022,1.72892312581434,1.89291793875556,1.84738638041275,1.9528050784429,2.1132049686021,7.05716448645864,8.73652467377419,8.89156617678896,9.80661043401986,10.3526373973488,9.08986228572247,9.32461838447088,9.90762693261136,6.45874055585521,9.51505729497812,9.0635176009453,9.1234751203723,10.3130005696122,10.3178929178126,9.83822526825221,11.3753976726556,11.8430713381181,12.1415854817698,11.3625187817897,11.407601816548,10.6530594972027,11.4170960547378,10.4808265293823,9.13808666183427,11.8697101323788,12.0500345258606,11.7552700121409,11.6902987786253,11.1087127185222,8.98697531977644,8.70442762610692
9,Australia,23.8187332915066,23.8304376591117,24.2966396909479,24.4643660637944,25.2379775430507,25.6329365045248,25.5570501688366,25.7070048867674,24.7927043776428,24.7970517675065,25.0171895574072,24.8232406376398,24.9096067182198,23.6494756962994,23.9557846089142,24.6034755729036,24.4493738478221,24.7186607917472,24.8616749728645,25.8084938629152,26.2673768723291,26.0478723061272,25.8208874432128,25.6817894508317,25.6786334344533,25.8593580105672,26.4225383770818,26.782739655708,27.7456329613995,27.796386582651,28.0278737627581,28.1937463371834,28.3650132232456,27.588794005931,28.272040366424,28.1593363222194,27.8842810149472,27.7877211875312,27.2124214824402,27.1523259874452,26.4676948816163,26.2481963150816,25.8758764668652,25.139472132128,24.4064843317084,24.3754432547998,24.0172995992848,23.9568324295082,23.4927236662568
10,Austria,9.54185637022034,9.87249633613947,10.146467994866,10.6015977340796,10.2683762462722,9.93666016303779,10.6404339816493,10.313090383263,10.6067738886253,10.9838940252673,10.749100220376,10.2929720041659,10.0026828893559,9.98632426194513,10.259316191773,10.4132632562007,10.2019554122172,10.2142432031925,10.0385407713487,9.92169814940892,10.5570675633702,11.0168222760099,10.2162236988975,10.1507761114288,10.1399487607676,10.4667968328143,10.9273785698793,10.8323606420985,10.8462952693956,10.5743778137524,10.5958136711132,11.1732513575985,11.3260099486919,11.9633845685236,11.8761458546181,11.903502875838,11.5600246228393,11.1417728586076,11.0150662593443,10.1340758198414,10.8447303536504,10.5913922650883,10.1514265492398,10.1875979665672,9.73285802344049,9.78894207137155,9.77873384243115,10.059741626537,9.75688819478537
11,Azerbaijan,7.88309018227058,7.79263871639147,8.14445049199517,8.58884796347199,9.02297618397735,9.71489912399482,9.94855457686061,10.2081930449517,10.497883333972,10.7730612181111,11.1586193870596,11.3058771821108,11.3837777553149,11.5434306465576,11.6700625532687,11.7014619561949,11.9761980752933,12.1807654806302,12.1453791350937,12.0217351819451,9.49292810097408,9.03591670334765,7.485305005031,6.54572895017681,5.81828807058234,5.59362969845946,4.86163851839224,4.75261449460041,4.75674591862509,4.80611675956855,4.99250345029037,4.83795285943648,4.77133807421215,5.08767898663917,5.03655384714192,5.33329844188592,5.44048206802544,5.51695738980626,6.06974091080105,5.30942877321057,5.15493904796533,5.40202968369951,5.70512095833443,5.77968137943394,5.91040778103582,5.81716088453897,5.77297141245196,5.65756889230498,5.65608363111906
12,Bahamas,19.9097061212341,19.589808062353,21.961674432647,23.1886335273201,18.8499585454278,21.7386714758091,18.7160503978132,20.2795195608323,20.6487283058147,19.3514723881181,18.7901180605631,18.2246302976841,15.0304677954077,11.7335313346738,11.5981345753665,9.91079931854567,10.3650045166663,12.1728735522477,10.9045367206127,11.4711291420193,11.7116192641578,10.8371325083201,9.28732207153711,8.82837280418442,9.48762589017048,10.9043985905056,12.1246992481481,11.1894241268407,12.1588773730399,10.9246430526189,11.6521094008485,11.636268075062,11.1727565376565,8.41213617616264,9.17425774132245,8.40940168951891,9.1309543403372,10.0063817439054,9.58470820137586,7.93388316185768,8.36958775817784,8.01151810083313,9.5766630099184,9.42144864055188,8.89356823901672,8.25878234043073,8.27570126937185,6.75008447680289,6.52383328507146
13,Bahrain,73.7623696740256,71.3202144870248,67.2624979151884,70.7837456915743,72.5396779411136,61.9860501334827,61.1290034207634,65.67397775905,61.3053779252212,60.1306597751233,57.0897151565083,55.4911538477314,53.5465322299369,51.7919107251564,50.6211340564104,51.7881137916213,54.9743072300583,51.4612498139166,51.7331983422583,50.3716521182386,56.3707340066418,52.3258145949905,58.8171442585227,61.3354248624248,59.9394480269923,58.1634443057816,58.8266321148306,53.9834522484267,54.8476436478661,55.6671033985979,54.2029344971404,53.1558046057962,50.1773706335412,47.244843646365,44.2760618209455,45.5583108307137,44.2324690450174,42.032251909472,42.0847818388232,40.0001840049946,38.7120726118812,37.8419811713118,39.3260441996735,42.6489635957159,43.3429909100848,42.5024293602916,40.9837266280012,39.0964899476387,37.8074792584833
