,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Power Industry,Afghanistan,0.05567391,0.05567391,0.1142513,0.1710209,0.2021973,0.2059921,0.2355675,0.3672203,0.267667,0.2949207,0.3039313,0.3556623,0.3534417,0.4961637,0.45035451,0.62792629,0.66076516,0.7154494,0.662213,0.59112633,0.58542053,0.54345612,0.31885169,0.33736915,0.21834784,0.3809714,0.38654548,0.37789794,0.4732626,0.44263806,0.347568635,0.41884883,0.2939598,0.37749132,0.31025518,0.4426365,0.5089121,0.640802,1.1881997,1.7107907,2.0842293,2.3304907,1.8311193,1.596841455,1.66501594,2.59349827,2.5047133,3.63384336,3.73822647,6.03954186,6.00378699
1,Power Industry,Albania,0.698291,0.698291,0.743364,0.756529,0.763669,0.71007,0.722054,0.718092,0.79855,0.83996,0.819636,0.790405,0.900094,0.930087,0.97556,0.997232,1.009783,1.009783,1.011298,1.000895,0.523224,0.331272,0.18576,0.318888,0.390096,0.26316,0.21672,0.20124,0.213624,0.2098631,0.2832845,0.2723897,0.283667,0.172677,0.167184,0.142416,0.142416,0.089784,,0.006192,0.01548,0.03096,,,,,,,,,
2,Power Industry,Algeria,1.646111,1.646111,1.550591,1.2222706,1.4655216,2.112361,2.53135,2.819716,3.299643,3.6630262,5.1250063,5.3129378,6.9189838,7.8570627,8.1144605,8.5957253,10.2493412,9.4399512,10.4010035,10.3946645,10.2249523,10.5944302,11.0301085,11.5283984,12.3465302,12.5475407,12.6117494,13.3489716,14.9534025,15.6066206,15.836721,16.6220031,17.55264076,18.7838643,19.8419409,20.6559365,22.0065381,22.3312823,24.1225624,24.67319251,25.093162,28.128661,30.9379792,30.1028183,32.6388353,36.7841997,36.1717422,37.738717152,40.298655591,41.902118719,39.909258371
3,Power Industry,Angola,0.1375463,0.1375463,0.159283,0.1687516,0.3718644,0.3529568,0.3465842,0.3465842,0.3465839,0.386987,0.3998063,0.3998063,0.4219906,0.4595523,0.1173798,0.160956,0.2044548,0.17334,0.2604924,0.2449347,0.2916068,0.244935,0.1725501,0.125175,0.1750203,0.1718472,0.1970375,0.4166674,0.3851183,0.6211225,0.7285244,0.82055,0.82055,1.027545,0.6532977,0.7674174,0.868968,0.976807,1.385889,2.226396,2.369069,2.229655,2.699127,3.993621,5.669692,6.130988,6.312641,5.347401,5.312575,5.085368,4.43661
4,Power Industry,Anguilla,0.0004299514,0.0004299514,0.0004358901,0.0004384404,0.0004466348,0.0004798554,0.0005213631,0.0004493838,0.000542579,0.0006616371,0.0004558512,0.0004519614,0.0004452607,0.0004168521,0.00040983233,0.00040323504,0.00044445537,0.000464120326,0.00035947095,0.00037406717,0.00040221678,0.00042027708,0.00044283513,0.00044378396,0.00045567031,0.00046106707,0.00049793144,0.000459604642,0.00057376005,0.00049076282,0.00064808953,0.00073057055,0.00072104606,0.00075078517,0.00075282341,0.00074482104,0.00073668403,0.00076032655,0.00077691264,0.00077819504,0.0007896822,0.000910453,0.000910453,0.0009775329,0.0009759785,0.0009798037,0.0010178294,0.0010558521,0.0010253795,0.0010329381,0.00090567
5,Power Industry,Antigua and Barbuda,0.12342987,0.12342987,0.1214781,0.13691848,0.1219477,0.1517662,0.1626214,0.1681419,0.2003247,0.1741977,0.1741722,0.1449253,0.1938429,0.11460713,0.13969661,0.14309759,0.14319802,0.18398269,0.18523546,0.153123694,0.161545833,0.182858089,0.1968397,0.156832141,0.167422601,0.198393864,0.199154103,0.185667393,0.188009949,0.162510373,0.16989826,0.1713452,0.18247996,0.21278301,0.2245446,0.22663305,0.22577902,0.232849,0.24582113,0.27701525,0.313694867,0.335432657,0.339199203,0.34600471,0.347069271,0.35388202,0.34509899,0.20504095,0.19911795,0.19435045,0.16803984
6,Power Industry,Argentina,23.835513282,23.835513282,24.974298212,25.056745209,23.43443042,22.976767259,24.33890263,26.389404759,23.553522679,25.16061081,22.42310302,20.77555251,19.37914365,20.71525225,19.3268613,17.26510942,19.6714077,19.74293597,27.46951048,26.38618751,20.282180727,22.26482821,21.327622771,21.374730983,22.034636987,22.8545986,25.917581502,23.884895515,25.66818452,29.622005478,30.30916295,24.270680744,22.001351423,25.4960039685,32.014568005,32.69945667,35.5679526,40.79112938,44.539055092,44.089801122,45.538836571,50.298135211,54.387605179,51.968210049,52.03112262,54.65807671,55.17463166,51.01377587,50.88249452,46.97271157,44.30182948
7,Power Industry,Armenia,2.001541,2.001541,2.211868,2.653595,3.073686,3.415113,3.631015,3.806705,3.996227,4.202333,4.375621,4.629621,4.725718,4.778455,4.694793,4.676707,4.56875,4.52775,4.26115,3.85325,6.10043,7.79963,4.86637,0.81308,0.821068,1.392354,1.53649,1.8012931,1.7864487,1.4558539,1.6010359,1.539436,0.9174031,0.8781896,0.766719,0.949436,0.9033785,1.0814969,1.04037,0.645318,0.632752,0.945397,1.43167,1.32132,1.55195,1.2716764,1.1732185,1.2389136,1.3175301,1.24715935,1.3721051
8,Power Industry,Aruba,0.030913971,0.030913971,0.03042528,0.03429208,0.03054273,0.03801081,0.04072966,0.0421124,0.05017288,0.04362922,0.04362268,0.04076463,0.04009128,0.04029606,0.044530362,0.045739259,0.045020146,0.04647156,0.17877866,0.1969804,0.2116766,0.26229125,0.30930804,0.251061411,0.274687076,0.345543586,0.22800106,0.3344846254,0.3387045543,0.2927383645,0.35127961,0.36656887,0.37641899,0.46503801,0.49342063,0.52969889,0.51103539,0.51822865,0.50240501,0.530632,0.55887292,0.46720258,0.5789671,0.56473627,0.56084571,0.57492109,0.54348963,0.33174831,0.32216582,0.31445139,0.27188205
9,Power Industry,Australia,53.31876334,52.5407835,58.06019522,59.2602207,65.33507349,69.56617243,71.93639096,80.9324928,75.5388389,78.7865641,89.1334462,92.9316326,98.7126685,93.8844691,96.550068314,104.319706259,104.233141569,111.237458358,116.589180411,125.921493323,128.814618301,131.139657858,133.868002855,134.762629831,136.96468753,142.59718304,149.32703466,153.6798811735,172.646544426,176.1214207398,178.8682118498,186.6201803095,203.1260499988,187.25134681,196.461869817,201.627952127,205.205566946,211.601178559,211.5644189292,222.202758259,210.672587365,202.71277463,201.736598379,191.444867942,182.317579368,190.380824811,194.549304757,191.500915644,186.679347783,185.2549011628,178.2672994626
