,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Afghanistan,0.0925444210640387,0.0988976267461989,0.0630586368320436,0.0781052055065165,0.0933761505892752,0.0605871865173231,0.0581305656966955,0.0588508613406404,0.0636029696954752,0.0652023981615247,0.0532524303148296,0.0642326397537424,0.0288207067619921,0.0335548123652165,0.0304357334098941,0.0363372685314175,0.0397306510753682,0.0516848714894352,0.0925304460665019,0.111771772737074,0.127164988996789,0.208093497939439,0.152809935698186,0.119660238865641,0.105094171866755,0.10834155413695,0.0871147812189536,0.115226008886699,0.115233922980879,0.153358402483358,0.155091143603141
1,Albania,0.418983388432029,0.388295108840861,0.228291094768495,0.195892386682382,0.189774396330898,0.148194563596488,0.13511888959939,0.117572304535286,0.129604534748295,0.183373858686749,0.179324972066474,0.176145299951515,0.195555083215499,0.194668795619879,0.193322741126647,0.173412969396973,0.162246918933386,0.157074836522577,0.144526995473038,0.142991079380124,0.146891813871532,0.155606435975504,0.139947198283593,0.145668772370186,0.152789835048381,0.14302422436788,0.133643745155435,0.145698051221055,0.140686224670795,0.142904398751686,0.135256916746373
2,Algeria,0.301841207290784,0.323986781297648,0.353119186896129,0.361843118262648,0.353598223739795,0.351982648218817,0.333455800408805,0.323368339846528,0.308280246047918,0.311125652653647,0.309678604570019,0.294916476232275,0.294606401918995,0.295249141942658,0.282033928112857,0.283168638528838,0.292045273860329,0.289545370397063,0.295672564112365,0.29994945038313,0.295237416947664,0.302499624677849,0.32675189100396,0.327843690127238,0.339614952306723,0.347493927368761,0.332029590744175,0.333668660997952,0.347669230290085,0.356412418971682,0.349001711506885
3,Angola,0.164878129962395,0.171247599805325,0.187165031340127,0.246564507914115,0.230452469452429,0.225881355443954,0.240638113168528,0.234666925943331,0.232808973577327,0.241086586349842,0.214337761299344,0.201719903069703,0.17465866932384,0.184537830657569,0.169806649899255,0.132378336601647,0.124309513468182,0.112369988620858,0.114292842967442,0.1239041365089,0.13267223026116,0.133631928179451,0.11992650652806,0.131416320164269,0.137031283119774,0.145506811153274,0.151491537632527,0.129588355281562,0.123838106063823,0.115213317010615,0.110519047040468
4,Anguilla,0.0246809745464085,0.0397916759260789,0.0313769560553074,0.0380980940482943,0.0489451838981215,0.060946595656326,0.0624948999310308,0.0525709113836645,0.0419374701401872,0.0364713543998986,0.0507180943250638,0.0524350712320616,0.0402358262542923,0.044169226962279,0.037246670650001,0.0312756215016683,0.027683517678728,0.0225931303792233,0.0277230342214896,0.0511508077274518,0.0628912799644102,0.0682226779824797,0.073785096552421,0.0921052661556927,0.0967594754210708,0.112214196027412,0.12560924040492,0.148554655005391,0.187721862980493,0.122208149287953,0.112837586764683
5,Antigua and Barbuda,0.415555352011598,0.428191478064622,0.431694544480994,0.373699890203717,0.371516273881733,0.408239669862051,0.386313817559054,0.358053852899058,0.331593150830241,0.327281850330049,0.294154541681226,0.307144955375274,0.30689279040088,0.325697050469541,0.324121743634122,0.297961199386771,0.262295547050557,0.245981505352946,0.250300103970341,0.327341997137284,0.35564968444727,0.396288458743977,0.42152291971407,0.454569579943873,0.433471878965183,0.415259969451957,0.386839680826857,0.294307630953824,0.2672826125829,0.252465541171748,0.260034682344922
6,Argentina,0.234393463975827,0.223379759453657,0.213483591252358,0.196089878058819,0.199535839786764,0.211934420575656,0.213057202472679,0.207913287538531,0.206305048097492,0.220346316170326,0.219687018488537,0.215248486090036,0.228022200048209,0.230312646363075,0.234809082143776,0.219578560907508,0.216475824411358,0.207162436479011,0.212354371310704,0.213991282338036,0.199950876253762,0.196513675519366,0.204991956919348,0.196534510812804,0.206922824474978,0.204127059933448,0.208333643431129,0.196851863506198,0.199669808402329,0.190351690553098,0.197590330396286
7,Armenia,1.12950324380918,1.33233232611641,1.16839957384342,0.603044279678515,0.318540348743033,0.373911399591559,0.26114772607559,0.324225387211302,0.313666147023544,0.272690123253521,0.294810758057185,0.273902157462891,0.207469526764784,0.203245179933713,0.197612060045612,0.205540655945241,0.183111698992069,0.186156141368866,0.190635368879377,0.178383184862281,0.167306022337127,0.182257794673983,0.195998540429778,0.179676232133158,0.17265343653306,0.151383965444726,0.153067127443075,0.152867766828702,0.153751757314755,0.135747605187406,0.155937297738021
8,Aruba,0.228439733304644,0.24382823462218,0.257240373647261,0.22254436172139,0.223563735688282,0.24320399546697,0.159617857029097,0.228989490080485,0.217740381129068,0.220141857358568,0.224038953735246,0.238074293663611,0.239600774874945,0.280254203729268,0.274867735162739,0.28266522373479,0.268793688580783,0.266184486368235,0.248981638244309,0.300391612322369,0.290505366779148,0.240048394744644,0.327727875080171,0.322424315080598,0.315017167461441,0.298012902086615,0.278089353576819,0.219725724076424,0.210875964358706,0.20502824784475,0.237983947153351
9,Australia,0.524889901642248,0.530778592017864,0.534943773300974,0.521658643822033,0.511177238709118,0.509241017524124,0.507259810807639,0.501978338311584,0.51114206747059,0.493948707930559,0.48307693705149,0.482736119808962,0.474906630703957,0.459973776580456,0.458502840388493,0.448737192092625,0.443450569159351,0.438512111422032,0.427003271849149,0.425299525974837,0.412068892592004,0.399978676954301,0.384441092667195,0.368452181729006,0.351985698430365,0.350356708277481,0.34758253668456,0.341856953892122,0.332227449131315,0.329831460224814,0.30892808117637
