,Unnamed: 0,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
52,52,Power Industry,Denmark,16.63735582,14.943563,16.614879296,15.55185869,14.84864311,15.66145543,17.828749596,19.61070143,19.0408923,21.43966925,26.26112704,19.99790143,26.5859481033,24.6649717115,25.1847641607,30.7964396699,31.061220996,29.942553852,27.821585615,23.188841985,25.200233293,34.038084525,28.8620084796,30.4360855773,34.510461429,30.66058921,42.930959702,33.887555798,30.426471896,27.2073913242,24.0469979023,25.3271687976,25.4976399114,30.4518397609,24.5194013038,21.2248749562,28.8977777612,24.2030219392,22.1632106158,22.1443298616,22.1569396092,17.9503575531,14.6530609471,16.9389002124,13.4434268091,10.542452906,11.8109786431,9.2980536315,9.4381816546,6.8006863177,5.9922369233
66,66,Power Industry,Finland,8.4427799,8.1612878171,8.37568479,9.5747486752,9.6063714458,10.166869117,15.529486874,14.653157416,18.6904262025,17.2944368178,19.5925389068,11.31471206,10.500020864,10.249320482,11.786996982,16.682270713,15.821870169,17.61751303,17.320607137,16.116501197,18.156702934,19.733205922,17.393841779,20.485457352,24.972291309,22.931238873,29.772757058,27.467290084,22.1615021105,22.5456536925,22.57509621998,27.96211012447,30.53760087945,38.71671192986,34.7534789215299,23.20807700973,34.62629422232,32.2803374844,25.68469471997,25.99008681388,31.84900135307,25.58918849587,20.98018747574,22.32353220104,19.8056297645,16.70759149046,18.28393006344,16.49713946782,17.43607504039,15.29906108019,14.09403045306
87,87,Power Industry,Iceland,0.0283803,0.03156659,0.03475288,0.05994689,0.05683468,0.05994689,0.0441636,0.0441636,0.03786509,0.03786509,0.03156659,0.0376683,0.0155865,0.009394498,0.006282297,0.006282297,0.006282297,0.006282297,0.003186299,0.003186299,0.003186299,0.003186299,0.003186299,0.005203699,0.005203699,0.011411898,0.008299697,0.008299697,0.023779709,0.036163679,0.005753899,0.005753899,0.006395799,0.006395799,0.006395799,0.006395799,0.006395799,0.017836497,0.010247199,0.005020299,0.004836899,0.003186299,0.003186299,0.0062985,0.0062985,0.0062985,0.0062985,0.006743101,0.006729935,0.005698235,0.004297804
137,137,Power Industry,Norway,0.3169556,0.2475236,0.174189,0.1541338,0.0859163,0.103197,0.1271364,0.2136804,0.1439426,0.1514011,0.14047,0.1315022,0.2351694,0.3535174,0.3886658,0.4448887,0.5326198,0.6327593,0.63151225,0.58657707,0.39355345,0.49663533,0.4504199,0.4931918,0.5772746,0.5152237,0.6294079,0.5355999,0.5649779,0.673726997,0.492296397,0.625929497,0.641162402,0.8547472,0.7373761,0.696049902,0.7683691,0.94534956,0.8253807,1.9856813,2.4717666,2.1048701,1.6660181,1.7116476,1.7521891,1.82991838,1.816402,1.8875535,1.891759473,1.919739499,1.910307282
177,177,Power Industry,Sweden,12.916616609,9.237845266,9.61591451,7.913286148,9.442134494,5.561309761,8.190259134,8.404353534,8.899120425,10.37452353,9.224638413,6.58029602,6.739032996,6.692294414,8.846495019,12.361454905,12.1324099031,11.600524216,9.76573083900001,8.334103606,8.1199466648,10.3536066964,9.56358870860001,9.8443032116,10.4521942962,9.7414648624,14.2163384432,10.2363489549,11.0363976793,9.68537200278,7.7840220275,8.787001614,10.228753138,11.1844295895,10.2177488869,9.1276686059,9.2060699405,7.8830974399,7.8381801964,7.98085519870001,10.7069431089,8.1984124133,7.2472162448,7.26091148989999,6.2986193592,6.1789568404,7.10597067918,7.09333793594,7.36577487425999,7.60213106338,7.5436856101
259,259,Buildings,Denmark,24.8021922,23.108477924,22.926636341,23.388907523,20.163135183,19.884234509,22.33624145,21.865669156,21.318832802,22.270209415,18.678858739,16.447383159,12.718246087,11.800635173,11.5652091,11.97078287,11.441334724,11.297723768,9.79496847,8.689151761,8.661060199,8.95691536,8.2420986,8.84719607,8.111373258,8.14793211,8.789475097,8.039751575,7.747445653,7.540574015,6.95380732,7.06594394,6.77449571,6.76324195,6.49007816,6.36593016,6.20286467,5.73434312,5.63130876,5.5290238,5.90573366,5.17919226,4.93801206,4.90077494,4.1554296,4.31743,4.35681756,4.1224011,4.107245054,3.918312566,3.206403807
273,273,Buildings,Finland,11.7070586,11.595257402,11.66233384,12.519871127,10.024119896,11.245048555,11.410949211,12.421500816,12.839159864,12.76575005,11.43835123,9.960769,9.06036036,8.382376829,7.679802,8.0726232,8.47316487,9.052515956,9.200771698,8.436859719,8.643802076,8.578719043,8.630121847,7.549597362,7.663150784,7.757162702,7.705061303,7.3102841,7.4827186,6.5749449,5.9498129,6.6062344,6.3920209,6.6274277,6.0144806,5.7656586,5.543507,5.5766647,4.8814484,4.8361568,5.1729992,4.4194169,4.6832884,4.315245,4.2047707,4.0217622,4.1419565,3.9931032,4.03552481,3.91133742,3.557250929
293,293,Buildings,Iceland,0.7987283,0.789526,0.8340873,0.872342,0.8635674,0.8666627,0.7846466,0.806539,0.8098284,0.774232,0.72477,0.705301,0.6544283,0.6389697,0.5805189,0.5448096,0.5856514,0.6331072,0.6675572,0.6797642,0.7142138,0.7414882,0.7918432,0.8266122,0.832666,0.8233942,0.9031138,0.8713539,0.8341854,0.8134368,0.7627613,0.6771528,0.7377065,0.7755545,0.7446112,0.7313172,0.6161155,0.633391,0.5834646,0.674565,0.605437,0.576966,0.5613471,0.6645321,0.627089,0.6840174,0.5754408,0.5909274,0.5897726557,0.4993592928,0.3766341431
343,343,Buildings,Norway,7.4626576,7.019923091,7.030254441,6.63981669,5.053937141,4.670440692,5.676716698,5.814336475,5.702806269,6.086437387,5.413017305,4.807718024,4.23513794,3.8387288,3.597275559,3.880840934,4.068356437,4.182440091,3.847986847,3.389379902,3.869554843,3.864567447,3.610121633,3.477550803,3.6463926,3.597025797,4.242828,3.8998826,3.872277597,3.914918,3.3134342,3.7609906,4.1395875,4.2085903,3.9417535,3.5699554,3.5570511,3.3004979,3.0403252,3.4182033,2.5996935,2.0629958,2.1428865,1.9323087,1.61671608,1.59121658,1.87579088,2.17502358,2.23848642,2.15165848,2.06161657
383,383,Buildings,Sweden,36.6954923,35.105662826,35.476006928,35.2570554728,28.6480350608,33.0379075967,36.2895772008,34.5625128364,28.6851247967,29.7815774,26.4736213967,25.8263274983,21.5988173,17.2868484017,13.9176164833,13.6605788,14.6713060967,13.2102393983,12.3435211,10.8336047,10.5731433,10.2400333,10.3862324,9.7373935,10.1664045,10.0929593,10.8943139,9.8952262,9.576137,9.1200372,7.4090061,7.3415704,7.191873,7.2002754,5.6009068,4.6093425,3.1697515,2.860419,2.5084281,2.9846839,3.3218583,2.8368205,2.0840094,1.7627634,1.8605393,1.510626,1.7470375,1.598201,1.4911812,1.57501337,1.48429546
467,467,Transport,Denmark,7.28192864,7.454912463,7.680445406,8.012102982,7.911329568,8.661962446,8.869237004,9.073995396,9.3037796391,9.298780037,8.980036837,8.719875645,8.803694801,8.743278707,9.300172701,10.780834337,11.22792491,11.04673537,11.052601509,11.356968861,10.3095247292,10.89944271822,10.86007237526,11.12809076631,11.57291480468,11.69683369717,11.815230474549,11.94360318607,11.9978807488,12.0427280896,12.0265279649,12.05911552772,12.2399545287,12.7140569277,13.1187443973,13.370688269,13.5510577275,14.14536710496,13.91978943398,13.20590152795,13.042505729,12.7481330346,11.3810693141,11.22080033045,11.31328861787,11.5308029536077,11.7920286856298,12.0348829462874,12.0593228699311,11.8787733453563,9.82983176221061
481,481,Transport,Finland,6.021333135,6.2566612547,6.627128269,7.16292928,6.99557196,7.53668859,7.622579159,7.676267881,7.781365687,8.3845607,8.33150989,8.43759038,8.63624643,8.83319686,9.09111469,9.5006175,10.0863303,10.802154299,10.946960299,11.558563399,11.716280393,11.40012874904,11.3527311981,11.1221212969,11.564559595,11.3582414,11.08625043,11.695207517,11.85520462,12.16511989,11.7471541562,11.88597299549,12.06986752007,12.26738061449,12.60388945636,12.62707669154,12.808705347947,13.14769956581,12.53008375964,11.96116195408,12.46671672564,12.29352827119,11.98648760038,11.82837452537,10.69277854139,10.68987771765,11.90358463858,11.30665826766,11.3480634705,11.10590526335,10.08583613708
